appid,name,cluster_characteristics,cluster_popularity,cluster_comprehensive
10,Counter-Strike,0,0,0
20,Team Fortress Classic,0,0,0
30,Day of Defeat,0,0,0
40,Deathmatch Classic,0,0,0
50,Half-Life: Opposing Force,0,0,0
60,Ricochet,0,0,0
70,Half-Life,0,0,0
80,Counter-Strike: Condition Zero,0,0,0
130,Half-Life: Blue Shift,0,0,0
220,Half-Life 2,0,0,0
240,Counter-Strike: Source,0,0,0
280,Half-Life: Source,0,0,0
300,Day of Defeat: Source,0,0,0
320,Half-Life 2: Deathmatch,0,0,0
340,Half-Life 2: Lost Coast,0,0,0
360,Half-Life Deathmatch: Source,0,0,0
380,Half-Life 2: Episode One,0,0,0
400,Portal,0,0,0
420,Half-Life 2: Episode Two,0,0,0
440,Team Fortress 2,0,0,0
500,Left 4 Dead,0,0,0
550,Left 4 Dead 2,0,0,0
570,Dota 2,0,1,1
620,Portal 2,0,0,0
630,Alien Swarm,0,0,0
730,Counter-Strike: Global Offensive,1,1,1
1200,Red Orchestra: Ostfront 41-45,0,0,0
1250,Killing Floor,0,0,0
1300,SiN Episodes: Emergence,0,0,0
1500,Darwinia,0,0,0
1510,Uplink,0,0,0
1520,DEFCON,0,0,0
1530,Multiwinia,0,0,0
1600,Dangerous Waters,0,0,0
1610,Space Empires IV Deluxe,0,0,0
1630,Disciples II: Rise of the Elves ,0,0,0
1640,Disciples II: Gallean's Return,0,0,0
1690,Space Empires V,0,0,0
1700,Arx Fatalis,0,0,0
1840,Source Filmmaker,0,0,0
1900,Earth 2160,0,0,0
1930,Two Worlds Epic Edition,0,0,0
2100,Dark Messiah of Might & Magic,0,0,0
2200,Quake III Arena,0,0,0
2210,Quake IV,0,0,0
2270,Wolfenstein 3D,0,0,0
2280,Ultimate Doom,0,0,0
2290,Final DOOM,0,0,0
2300,DOOM II,0,0,0
2310,QUAKE,0,0,0
2320,QUAKE II,0,0,0
2330,QUAKE II Mission Pack: The Reckoning,0,0,0
2340,QUAKE II Mission Pack: Ground Zero,0,0,0
2350,QUAKE III: Team Arena,0,0,0
2360,HeXen: Beyond Heretic,0,0,0
2370,HeXen: Deathkings of the Dark Citadel,0,0,0
2390,Heretic: Shadow of the Serpent Riders,0,0,0
2400,The Ship: Murder Party,0,0,0
2450,Bloody Good Time,0,0,0
2500,Shadowgrounds,0,0,0
2520,Gumboy - Crazy Adventures™,0,0,0
2590,Alpha Prime,0,0,0
2600,Vampire: The Masquerade - Bloodlines,0,0,0
2610,GUN™,0,0,0
2620,Call of Duty®,0,0,0
2630,Call of Duty® 2,0,0,0
2640,Call of Duty: United Offensive,0,0,0
2800,X2: The Threat,0,0,0
2810,X3: Reunion,0,0,0
2820,X3: Terran Conflict,0,0,0
2840,X: Beyond the Frontier,0,0,0
2870,X Rebirth,0,0,0
2910,Fleet Command,0,0,0
2990,FlatOut 2™,0,0,0
3020,Call of Juarez™,0,0,0
3130,Men of War: Red Tide,0,0,0
3170,King's Bounty: Armored Princess,0,0,0
3260,Safecracker: The Ultimate Puzzle Adventure,0,0,0
3270,Painkiller Overdose,0,0,0
3330,Zuma Deluxe,0,0,0
3480,Peggle Deluxe,0,0,0
3483,Peggle Extreme,0,0,0
3540,Peggle™ Nights,0,0,0
3590,Plants vs. Zombies GOTY Edition,0,0,0
3600,Escape Rosecliff Island,0,0,0
3620,Zuma's Revenge!,0,0,0
3700,Sniper Elite,0,0,0
3710,Judge Dredd: Dredd vs. Death,0,0,0
3720,Evil Genius,0,0,0
3730,Aliens versus Predator Classic 2000,0,0,0
3800,Advent Rising,0,0,0
3810,BloodRayne,0,0,0
3820,BloodRayne 2,0,0,0
3830,Psychonauts,0,0,0
3900,Sid Meier's Civilization® IV,0,0,0
3910,Sid Meier's Civilization® III Complete,0,0,0
3920,Sid Meier's Pirates!,0,0,0
3980,CivCity: Rome,0,0,0
3990,Civilization IV®: Warlords,0,0,0
4000,Garry's Mod,0,0,0
4230,RACE - The WTCC Game,0,0,0
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,0,0,0
4520,Full Spectrum Warrior,0,0,0
4530,Full Spectrum Warrior: Ten Hammers,0,0,0
4560,Company of Heroes - Legacy Edition,0,0,0
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0,0,0
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0,0,0
4700,Total War: MEDIEVAL II – Definitive Edition,0,0,0
4720,Condemned: Criminal Origins,0,0,0
4760,Rome: Total War™ - Collection,0,0,0
4770,Rome: Total War™ - Alexander,0,0,0
4780,Medieval II: Total War™ Kingdoms,0,0,0
4800,Heroes of Annihilated Empires,0,0,0
4850,Cossacks: Back to War,0,0,0
4870,Cossacks: Art of War,0,0,0
4880,Cossacks: European Wars,0,0,0
4890,Cossacks II: Battle for Europe,0,0,0
4920,Natural Selection 2,0,0,0
